vraag,antwoord
Welke kleur heeft een peer?,groen
Welke kleur heeft een ui?,wit
Welke kleur heeft een peer?,groen
Welke kleur heeft een druif?,paars
Welke kleur heeft een wortel?,oranje
Welke kleur heeft een radijs?,rood
Welke kleur heeft een bloemkool?,wit
Welke kleur heeft een broccoli?,groen
Welke kleur heeft een granaatappel?,rood
Welke kleur heeft een kiwi?,bruin
Welke kleur heeft een kiwi?,bruin
Welke kleur heeft een broccoli?,groen
Welke kleur heeft een wortel?,oranje
Welke kleur heeft een champignon?,wit
Welke kleur heeft een limoen?,groen
Welke kleur heeft een druif?,paars
Welke kleur heeft een spinazie?,groen
Welke kleur heeft een watermeloen?,groen
Welke kleur heeft een kers?,rood
Welke kleur heeft een nectarine?,oranje
Welke kleur heeft een pompoen?,oranje
Welke kleur heeft een banaan?,geel
Welke kleur heeft een banaan?,geel
Welke kleur heeft een aubergine?,paars
Welke kleur heeft een nectarine?,oranje
Welke kleur heeft een nectarine?,oranje
Welke kleur heeft een appel?,rood
Welke kleur heeft een appel?,rood
Welke kleur heeft een paprika?,rood
Welke kleur heeft een rode kool?,paars
Welke kleur heeft een aubergine?,paars
Welke kleur heeft een citroen?,geel
Welke kleur heeft een radijs?,rood
Welke kleur heeft een ui?,wit
Welke kleur heeft een abrikoos?,oranje
Welke kleur heeft een pruim?,paars
Welke kleur heeft een kers?,rood
Welke kleur heeft een abrikoos?,oranje
Welke kleur heeft een rode kool?,paars
Welke kleur heeft een ui?,wit
Welke kleur heeft een banaan?,geel
Welke kleur heeft een komkommer?,groen
Welke kleur heeft een wortel?,oranje
Welke kleur heeft een ananas?,geel
Welke kleur heeft een paprika?,rood
Welke kleur heeft een watermeloen?,groen
Welke kleur heeft een peer?,groen
Welke kleur heeft een banaan?,geel
Welke kleur heeft een druif?,paars
Welke kleur heeft een granaatappel?,rood
Welke kleur heeft een broccoli?,groen
Welke kleur heeft een tomaat?,rood
Welke kleur heeft een courgette?,groen
Welke kleur heeft een spinazie?,groen
